0.005,157.2
0.01,99.8
0.015,98.5
0.02,98.7
0.025,98.5
0.03,98.7
0.035,99.0
0.04,99.4
0.045,98.9
0.05,98.6
0.055,99.1
0.06,98.9
0.065,99.1
0.07,98.8
0.075,99.1
0.08,99.8
0.085,98.0
0.09,97.9
0.095,103.3
0.1,96.8
0.105,98.1
0.11,97.9
0.115,97.4
0.12,96.7
0.125,97.0
0.13,98.9
0.135,97.8
0.14,98.6
0.145,98.3
0.15,109.5
0.155,97.9
0.16,99.0
0.165,98.8
0.17,99.1
0.175,98.7
0.18,98.3
0.185,96.6
0.19,97.3
0.195,98.1
0.2,98.5
0.205,98.9
0.21,98.8
0.215,99.2
0.22,99.0
0.225,98.1
0.23,98.4
0.235,99.9
0.24,97.8
0.245,98.3
0.25,101.7
