Cutoff,Time
0.51,66.7
0.52,64.3
0.53,63.9
0.54,63.8
0.55,64.1
0.56,64.0
0.57,63.8
0.58,63.9
0.59,63.9
0.6,63.9
0.61,63.7
0.62,63.7
0.63,63.9
0.64,64.1
0.65,63.9
0.66,65.6
0.67,65.2
0.68,63.8
0.69,64.0
0.7,64.1
0.71,72.6
0.72,79.7
0.73,64.7
0.74,69.8
0.75,76.3
0.76,65.8
0.77,64.4
0.78,64.0
0.79,65.4
0.8,64.5
0.81,68.8
0.82,65.2
0.83,64.8
0.84,63.8
0.85,63.8
0.86,63.8
0.87,63.9
0.88,64.1
0.89,63.5
0.9,63.9
0.91,63.8
0.92,65.6
0.93,64.0
0.94,63.8
0.95,63.9
0.96,63.6
0.97,63.9
0.98,63.9
0.99,63.7
1.0,63.5
